time,lat,lon,bnds,average_DT,average_T1,average_T2,rlds,time_bnds,lat_bnds,lon_bnds
2021-01-16 12:00:00,-89.49438202247192,1.25,1.0,31 days,2021-01-02,2021-02-02,159.55501,2021-01-01 00:00:00,-90.0,0.0
2021-01-16 12:00:00,-89.49438202247192,1.25,2.0,31 days,2021-01-02,2021-02-02,159.55501,2021-02-01 00:00:00,-88.98876404494382,2.5
2021-01-16 12:00:00,-89.49438202247192,3.7499999999999996,1.0,31 days,2021-01-02,2021-02-02,159.55519,2021-01-01 00:00:00,-90.0,2.5
2021-01-16 12:00:00,-89.49438202247192,3.7499999999999996,2.0,31 days,2021-01-02,2021-02-02,159.55519,2021-02-01 00:00:00,-88.98876404494382,5.0
2021-01-16 12:00:00,-89.49438202247192,6.25,1.0,31 days,2021-01-02,2021-02-02,159.55515,2021-01-01 00:00:00,-90.0,5.0
2021-01-16 12:00:00,-89.49438202247192,6.25,2.0,31 days,2021-01-02,2021-02-02,159.55515,2021-02-01 00:00:00,-88.98876404494382,7.499999999999999
2021-01-16 12:00:00,-89.49438202247192,8.75,1.0,31 days,2021-01-02,2021-02-02,159.55545,2021-01-01 00:00:00,-90.0,7.499999999999999
2021-01-16 12:00:00,-89.49438202247192,8.75,2.0,31 days,2021-01-02,2021-02-02,159.55545,2021-02-01 00:00:00,-88.98876404494382,10.0
2021-01-16 12:00:00,-89.49438202247192,11.25,1.0,31 days,2021-01-02,2021-02-02,159.55565,2021-01-01 00:00:00,-90.0,10.0
2021-01-16 12:00:00,-89.49438202247192,11.25,2.0,31 days,2021-01-02,2021-02-02,159.55565,2021-02-01 00:00:00,-88.98876404494382,12.5
2021-01-16 12:00:00,-89.49438202247192,13.75,1.0,31 days,2021-01-02,2021-02-02,159.55585,2021-01-01 00:00:00,-90.0,12.5
2021-01-16 12:00:00,-89.49438202247192,13.75,2.0,31 days,2021-01-02,2021-02-02,159.55585,2021-02-01 00:00:00,-88.98876404494382,14.999999999999998
2021-01-16 12:00:00,-89.49438202247192,16.25,1.0,31 days,2021-01-02,2021-02-02,159.55597,2021-01-01 00:00:00,-90.0,14.999999999999998
2021-01-16 12:00:00,-89.49438202247192,16.25,2.0,31 days,2021-01-02,2021-02-02,159.55597,2021-02-01 00:00:00,-88.98876404494382,17.5
2021-01-16 12:00:00,-89.49438202247192,18.75,1.0,31 days,2021-01-02,2021-02-02,159.55608,2021-01-01 00:00:00,-90.0,17.5
2021-01-16 12:00:00,-89.49438202247192,18.75,2.0,31 days,2021-01-02,2021-02-02,159.55608,2021-02-01 00:00:00,-88.98876404494382,20.0
2021-01-16 12:00:00,-89.49438202247192,21.25,1.0,31 days,2021-01-02,2021-02-02,159.55592,2021-01-01 00:00:00,-90.0,20.0
2021-01-16 12:00:00,-89.49438202247192,21.25,2.0,31 days,2021-01-02,2021-02-02,159.55592,2021-02-01 00:00:00,-88.98876404494382,22.5
2021-01-16 12:00:00,-89.49438202247192,23.75,1.0,31 days,2021-01-02,2021-02-02,159.55592,2021-01-01 00:00:00,-90.0,22.5
2021-01-16 12:00:00,-89.49438202247192,23.75,2.0,31 days,2021-01-02,2021-02-02,159.55592,2021-02-01 00:00:00,-88.98876404494382,25.0
2021-01-16 12:00:00,-89.49438202247192,26.250000000000004,1.0,31 days,2021-01-02,2021-02-02,159.55533,2021-01-01 00:00:00,-90.0,25.0
2021-01-16 12:00:00,-89.49438202247192,26.250000000000004,2.0,31 days,2021-01-02,2021-02-02,159.55533,2021-02-01 00:00:00,-88.98876404494382,27.5
2021-01-16 12:00:00,-89.49438202247192,28.75,1.0,31 days,2021-01-02,2021-02-02,159.55551,2021-01-01 00:00:00,-90.0,27.5
2021-01-16 12:00:00,-89.49438202247192,28.75,2.0,31 days,2021-01-02,2021-02-02,159.55551,2021-02-01 00:00:00,-88.98876404494382,29.999999999999996
2021-01-16 12:00:00,-89.49438202247192,31.249999999999996,1.0,31 days,2021-01-02,2021-02-02,159.5569,2021-01-01 00:00:00,-90.0,29.999999999999996
2021-01-16 12:00:00,-89.49438202247192,31.249999999999996,2.0,31 days,2021-01-02,2021-02-02,159.5569,2021-02-01 00:00:00,-88.98876404494382,32.5
2021-01-16 12:00:00,-89.49438202247192,33.75,1.0,31 days,2021-01-02,2021-02-02,159.55714,2021-01-01 00:00:00,-90.0,32.5
2021-01-16 12:00:00,-89.49438202247192,33.75,2.0,31 days,2021-01-02,2021-02-02,159.55714,2021-02-01 00:00:00,-88.98876404494382,35.0
2021-01-16 12:00:00,-89.49438202247192,36.25,1.0,31 days,2021-01-02,2021-02-02,159.55705,2021-01-01 00:00:00,-90.0,35.0
2021-01-16 12:00:00,-89.49438202247192,36.25,2.0,31 days,2021-01-02,2021-02-02,159.55705,2021-02-01 00:00:00,-88.98876404494382,37.5
2021-01-16 12:00:00,-89.49438202247192,38.75,1.0,31 days,2021-01-02,2021-02-02,159.55737,2021-01-01 00:00:00,-90.0,37.5
2021-01-16 12:00:00,-89.49438202247192,38.75,2.0,31 days,2021-01-02,2021-02-02,159.55737,2021-02-01 00:00:00,-88.98876404494382,40.0
2021-01-16 12:00:00,-89.49438202247192,41.25,1.0,31 days,2021-01-02,2021-02-02,159.55548,2021-01-01 00:00:00,-90.0,40.0
2021-01-16 12:00:00,-89.49438202247192,41.25,2.0,31 days,2021-01-02,2021-02-02,159.55548,2021-02-01 00:00:00,-88.98876404494382,42.5
2021-01-16 12:00:00,-89.49438202247192,43.74999999999999,1.0,31 days,2021-01-02,2021-02-02,159.55579,2021-01-01 00:00:00,-90.0,42.5
